"PricingInflation","ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"All Other","Defense",6381928579.3536,6747008088.6202,8072281208.2013,10540757674.319,12836588997.2038,15095818809.7542,20555093788.831,37389836035.3006,49723965605.3679,54614610145.2335,18682561712.5854,13791654301.3731,9963175401.3114,5674605634.7784,3564009549.3797,3312277978.108,3475487776.0943,3791114615.4635,5073235012.9303,5082149813.7403,5503592559.1545,5037821644.5799,4839570895.1604,6246690203.0344,7112562232.88,3162799345.06
"All Other","DHS",41354000,72767495,183618087.625,304694303.3225,848143345.2986,1338156852.146,2973564957.5808,3445651358.4945,3485334601.7416,3540583232.1376,2975105027.2276,3088006983.2549,3119851466.5253,2725275353.5883,2594963669.7455,2356781347.6881,2910998385.565,3499015474.2332,4592517371.4089,3919479677.0082,3978005995.5761,3942016411.2163,4153249179.0954,4532372652.2,5077070384.91,2045016930.59
"All Other","Energy",260025608.6831,313091862.2926,330668124.0646,384902270.2273,429790041.0263,497580945.909,530266687.2983,690457929.766,825738635.0253,922976433.8753,1213751536.0381,1333493463.2291,1174651713.0942,1045801818.7501,652963397.8729,576713329.7483,521999760.89,542993848.3202,616096972.206,796911178.9634,926798162.2476,1002987879.5398,1235920766.6121,1436629959.3778,1634472845.33,671639535.8
"All Other","GSA",624441685.0984,806652494.8829,1746754637.3345,2276657335.3215,3135341910.4993,2563838357.9904,1576015948.0529,1597579445.0517,1693097922.5069,1472339883.8707,1932086324.2854,2379452025.5834,2020450342.8356,1560750523.103,1334953490.8852,1276124354.3843,1178968394.5001,1195627213.473,1473158578.326,1923090746.9088,1772742523.3686,2129978056.7715,2224981194.0105,2475687626.7616,2469966345.06,922815312.65
"All Other","HHS",170511133.7814,207227380.8205,388614382.4749,378595194.8683,647689548.4007,853774917.1705,1293713787.1856,2078092884.9965,2313069343.6274,2132933359.0413,1955467785.2236,2060268014.3807,2185018933.0702,2607714663.1672,2603845754.3918,2835379776.0326,3267997781.31,3084548269.6675,3273990084.3071,3579745049.4649,3920767272.5364,5033825210.9533,5550932114.4928,5981875218.4959,5946356786.11,1628516358.08
"All Other","NASA",40079212,30189910.12,34733466.09,40286400.43,71317944.4196,91359933.038,129086831.8275,217062258.8071,306157522.9684,264074950.5063,271396049.0873,257982715.6322,238262556.9203,179037707.4417,154926859.1646,127014543.8527,104305964.2,102567571.519,77317357.3235,48423937.9922,65385270.3436,54691219.3329,78915023.5724,133226752.1856,142547400.77,72790063.95
"All Other","Other Agencies",1696841079.2358,1737816762.5787,2279645686.4481,2806203784.3948,4010507806.5825,4734193399.1484,5996042541.587,7174940627.1684,7464898397.2517,8047913575.1326,6930645762.0655,6549122987.5154,6249940122.44,6643832101.2789,6854731097.9918,7753070621.9115,7747325221.1206,7906638732.3319,8516912702.3736,9335564294.5116,11841103764.3116,11042483789.0371,10689931458.3394,12497593712.0696,13431042141.41,2171911803.25
"All Other","State and IAP",241663397.4012,338864799.7374,653028657.4102,494653173.3577,1543097806.963,2159850316.2915,2317012259.6974,2380764872.2281,2988294616.9437,3360277382.8688,2600786168.7191,2172625312.9427,2867878745.6395,2222132908.5859,2795306481.1543,2321449749.8954,2815032454.8451,2948150941.0716,3563646782.9997,3556702295.6838,3790507594.0145,3870468700.7219,3963544538.3298,3939568717.4037,4176563743.99,1133563574.67
"All Other","VA",9894000,11882824.3,10133530.2476,26859364.2421,263594704.0767,334250314.1137,305155454.4783,322164252.9118,157692312.3523,159166812.3941,141243850.2881,206205711.8936,195126108.9109,276046730.5706,341289918.9829,477054209.615,532670258.95,695272262.8022,707521719.7421,720493989.623,823449701.2666,1112864765.5283,1011228454.2584,1135551246.008,1332253984.51,318388600.11
"Cost-Based","Defense",41017731012.8018,43077261680.4891,47986493037.5011,60359498521.7867,72636344257.3792,78922405512.9257,91500778421.9539,90582997833.0433,92243541311.3074,93380206926.9385,106587148422.879,114622040551.791,101954189109.321,95044783414.9206,88681807983.9888,84415198729.9324,88438708881.2946,95331995264.1848,103913111439.798,109048516377.225,108046176937.423,114665726039.915,118442369819.847,127221406676.92,140768787704.59,68442133309.35
"Cost-Based","DHS",102647000,101958751.15,497200174.27,786853096.8451,2104890406.3939,1859992656.7896,4773046300.6695,2401110199.3746,2630725553.5024,2500422627.8895,2576538822.5294,2005577707.4851,1859317574.7472,1604905640.5755,1508351657.7772,1520856464.8712,1499075548.94,1364112425.877,1540413065.5725,1289341238.8428,1213166734.6347,1316260573.6151,1236121252.4986,1185043624.1268,1185920656.87,289468903.01
"Cost-Based","Energy",19309716621.7047,21897788741.5,22663438280.8712,28596857459.9992,20038469727.5511,21634166362.1121,21653954131.6922,21914467765.4314,22265078049.8357,28838998448.2431,23731801328.8623,23132497834.077,23362557524.9977,22338852921.0713,24074364496.2319,23687926641.3458,26934377520.75,27521918779.2344,30314636413.0921,31313208579.7238,33851362563.2426,36311317371.7745,39807372735.1898,42817238172.7213,44459714637.35,21356788141.42
"Cost-Based","GSA",398032168.6494,484126915.0532,292969403.3466,793441665.1709,403128933.5477,740841008.8379,626796096.0896,625639579.2109,684480639.8182,862998307.2517,599425876.8395,1092856756.5539,1110980714.1377,924066309.295,1015619626.715,1298945882.045,2017072121.53,2507000046.3612,4281137603.7472,5446400292.3845,6868518598.3924,6668825538.6548,8215191579.3184,10497068934.3773,12114173648.38,4446031972.22
"Cost-Based","HHS",2725172027.7248,3525757811.0546,3572201974.3458,4255740236.3971,4914383354.6328,4708445097.9911,5459282777.9976,5270153254.35,6262735851.1916,7037150146.3047,7422050273.1859,8279812865.2883,7420621050.2934,7870647496.6497,9019494658.1128,8487685357.1576,8925410034,9070903401.1472,8141237263.2771,8967510253.8472,12563441345.9594,9284053956.6743,8545808553.6751,9802798703.5633,8600119295.23,1813844183.99
"Cost-Based","NASA",3395150415.7454,4289167729.45,3935820218.89,4914183680.6586,8817583460.3646,10450442954.4999,10789668503.9455,10668948412.179,11817838675.5213,11989192239.5699,12758526992.8169,11792020275.69,11177308280.5936,10664359012.7358,10848940251.7645,11114271585.7661,11978930476.0405,12127370798.563,12713606008.977,12672611315.1705,13292649543.8699,12992886982.6355,13449477024.1207,13702876568.4653,12973638012.83,6011479606.22
"Cost-Based","Other Agencies",3991892864.3426,3978677250.6583,4921509239.047,4521935752.5783,4942685787.8508,4529809488.8538,4608492575.7458,5051033610.3954,5387773589.4281,5831042683.6391,6650015122.2505,5910653338.7831,5796188858.1922,5218676977.0186,5343257677.6696,4924678926.2053,5275142800.9302,4780498482.4469,4576945948.667,5166596139.9797,4878523724.6413,4262736973.3397,3977970001.2186,4077637852.4696,4238940107.39,1220186825.46
"Cost-Based","State and IAP",444330374.2891,707510101.73,978736714.57,2184614646.65,722639353.0945,1190150187.7737,1636693114.3129,2662586892.433,2221651760.4935,3594150331.7723,3861796412.4465,3575363294.0944,4120790002.9165,3921101399.6905,3216424385.7978,4575928491.0988,4150684610.4,4609062738.6725,4637630629.6238,5121011175.5867,5909424644.6868,5483051547.0955,5178609750.2797,6037623455.205,6494207102.79,2254728611.57
"Cost-Based","VA",6332000,4161000,10770421,2117475,9758296.2266,19998995.0767,27245009.4348,28257664.9318,36998564.1421,50434213.7321,52253665.2774,103909407.1773,100954512.2652,94788965.6719,129121940.04,335396167.9,62692045.84,64732699.253,85637043.8914,81716445.2172,70148541.0604,92568831.4792,87290762.3702,132088128.8371,84142829.8,13505493.57
"Cost-Based",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
"FFP","Defense",65729882306.083,73056890995.7805,87658370254.8533,112233600496.535,113810713937.848,135270189438.062,151373684669.345,176313744914.684,201283118784.543,196177753824.262,205108208505.621,196061579229.981,190866345851.325,154518487537.274,149861320369.744,148128005402.393,162549961622.657,164445036911.628,186823234077.923,203441881382.762,222681307856.797,221086418056.436,229079991517.368,241310838455.962,241795913896.397,96607547393.69
"FFP","DHS",83336799.14,138790623.9825,127930165.3198,2566855518.2024,4357069323.9462,8286394023.5394,7121227116.5245,5115989862.0617,6092150083.709,6579778306.5477,7309736750.2489,7776927816.7485,7162894865.367,7285850022.9971,7963301030.8858,8950907664.2329,8596598761.4752,11041359206.8859,11424069301.2048,12086203722.5404,13670718124.2545,13878827753.8905,15352382981.9775,18037107739.1593,16906154389.5,6159663384.34
"FFP","Energy",442848257.5494,463566779.696,454275064.7432,492215439.0404,520132351.441,512739754.4277,579823616.5484,478653170.4238,547674876.8055,1131668771.0367,701810544.4186,473728484.225,487643612.4267,455603106.5087,502363492.633,898379271.675,818123433.8,878902269.4301,1007651749.7259,1193816143.0477,1186548025.686,1227222849.2008,1394284372.0158,1618375639.8743,1511147625.77,530646782.9
"FFP","GSA",7023070542.3815,8404729543.2979,11487851531.5775,11047346871.3181,6678242808.7752,5591783955.5101,5626789692.1427,4705098664.6427,4576946411.4799,6797746677.6968,8880191097.2026,5858324122.5521,5267951313.3245,4702263280.8322,5042978556.6092,5476679332.9035,5458935864.2587,6314623596.573,6001529798.5872,7329566623.1205,7822854810.1746,8367634847.7007,9771471157.511,10406098599.0455,11175313311.58,4577215761.31
"FFP","HHS",1382982709.1387,1474859652.6845,2889046367.0613,2856025537.696,2561499697.3559,4348263491.4941,5594585545.2353,6495939493.2427,5110950836.6241,9857337121.1822,9404372767.2562,9233132129.1146,9600596784.0905,9756450097.3757,10356443776.6827,10734311245.1857,11857273372.4578,12712363881.7368,13207393192.792,13924326892.7331,23621512798.6623,22712144140.3189,23592887436.4964,22773853306.1185,22120023837.72,4937066928.72
"FFP","NASA",1347632569.7114,1695767285.5404,1511975203.2883,1411624487.9371,1884939136.5197,1930525033.7247,1936820494.1974,2206825504.1923,2511754808.865,2669496038.6063,2844790331.5747,3236186043.8604,3572034074.1083,3193825072.1983,3948289889.2338,4567266444.3282,5087794339.0792,5057738155.8683,5150331979.1462,4943804347.5804,5464851568.2414,5989263900.0104,6245332714.121,6815112116.3388,6524521286.73,2158047589
"FFP","Other Agencies",19113717864.6569,16532337753.3728,18224975714.5861,17609234471.3133,19161919745.889,22202866743.4337,23599458662.172,25842975893.0582,26779004975.1267,30799519222.5353,58204233792.473,36748924220.904,35466735811.378,30585814189.6767,30586586712.7352,30780621280.3927,32452704462.0325,32583312608.9207,32830407325.8159,35216754237.2431,43485501532.9991,44547929760.7131,45724834566.3445,51453181619.7663,49006459585.42,15990117532.05
"FFP","State and IAP",1039146417.9702,1487013448.6807,2891036997.0956,2755369787.9259,3268399694.5577,4672263043.4556,4176349463.7985,4691342372.5366,4695341491.9188,5340468944.0886,7039801865.0357,6735551284.4472,6698617286.3342,5772005704.8252,7108405224.8561,6323872793.2676,6626803495.6083,8692789930.2843,6929007386.5328,6501462763.5519,5829072583.5379,6092206054.4407,8276390662.0691,8605226109.3224,8781316762.72,2659537460.87
"FFP","VA",3430693991.0803,3952334587.7871,4184463881.0686,6117689479.8623,6889390394.3515,8547837294.8576,10003346749.2359,12097761379.5368,14380547416.2388,13961990514.1867,15402216501.963,16474587475.0353,15689101805.1329,17014249037.2738,17499136770.7264,18522095451.486,19605245814.6337,20589762617.559,24033747549.5528,24563340106.0133,29304751638.6219,42922847990.7375,54464486179.6501,59298176105.9421,64285622083.0844,29532128709.37
"FFP",,,,0,0,,,,,,,,,,,,,,,,,,,,,,
"FP-Econ. Price Adj.","Defense",6301955255,8495776002,8579162028,10237410910.1396,11393769096.2519,22121395385.4164,19911512737.9294,17480281870.3708,23192843021.8507,24772255554.467,17167106141.5573,19616245702.2966,27118090727.578,18300986393.2541,11867343968.1866,8985851310.0364,7381403915.6093,9215365649.3795,10630924609.1741,9806987408.5957,8959138691.8077,10110997128.4596,17518939386.3855,17556186076.5167,17442113345.66,6051757384.73
"FP-Econ. Price Adj.","DHS",11302000,6996000,11371000,226266456.61,167126362.5159,213402751.9222,167367437.0902,161521011.5753,88888392.7656,29715526.51,51591546.1779,32051004.3163,20390533.8525,21385705.57,35627518.0505,39534346.831,382868437.41,325635782.2651,337456511.5793,340854215.0538,296755325.4846,280843859.5467,152628881.3239,160340820.902,60699149.6,31361927.49
"FP-Econ. Price Adj.","Energy",266377030.6201,191376432.2897,238767018.0392,274345287.5523,172189135.9128,155444252.1304,-224404922.2406,50788953.5135,39083088.266,33962935.1272,22269138.583,30283042.472,10691704.9764,9766943.31,11193597.0409,19041843.07,14296021.02,22503983.0773,24572890.5276,7643924.0896,13585100.305,14876424.84,23020677.15,16888436.2901,16956024.6,16554655.69
"FP-Econ. Price Adj.","GSA",2705769440.479,2774682105.3805,5555151913.4539,4588273549.822,6080297524.0438,5838862823.5945,5964870163.353,5976091031.4416,6079329677.1203,6123487082.2261,6722443391.2005,4884169594.8736,1784247462.3915,1426941954.6447,1733752255.603,1513191179.0388,1783032921.8,1879861771.7203,1942099181.5654,963926135.7566,1002063291.2789,768474120.5566,780079191.203,968630015.502,1107106282.84,451888074.19
"FP-Econ. Price Adj.","HHS",64717083,79782198,128942705.875,164625988,71045502.9081,47165336.3943,41469358.6271,44832789.4549,58590493.6398,321671504.9875,74203579.6102,66328287.6601,42679007.768,33691292.5962,46546075.3253,48025617.7037,35601958.79,25210792.2224,25408192.9128,16183802.669,58899843.5989,79085630.6127,109891201.1068,76520625.4754,84939442.27,3374857.11
"FP-Econ. Price Adj.","NASA",211711964.5313,167372804.91,129302612.73,127554692.9588,65374005.8447,67376192.4485,46750315.2708,33496466.7647,28269287.1595,26455284.8871,21187808.9698,18160132.8672,24801368.5506,21475083.28,11007449.4901,10220997.7719,9240578.2339,9300618.832,14429673.0317,11821946.0377,7367820.7266,8172934.9517,11912906.8162,19244594.2896,11277178.89,7773041.89
"FP-Econ. Price Adj.","Other Agencies",1284871953.9387,1756281079.075,1981198706.9511,1528497235.5159,1392858210.2437,1346319827.0417,1334938922.8902,1486275200.2722,1740344640.9432,1428343821.4138,1310301152.7023,1384524190.9227,1532426227.0493,1682318162.9407,1767430637.9943,1471501554.824,1212721218.8994,1036068918.3351,1339553887.0987,824867410.411,632803894.5617,932374910.0641,1268033864.4028,920809914.5164,2248049068.99,894946711.47
"FP-Econ. Price Adj.","State and IAP",93460202.6641,113365317.7686,138634082.235,156015674.0196,90906517.1908,101369900.8067,87782290.7924,58470283.1086,69885681.2826,42454445.015,35787956.6378,42383135.3397,44775781.2675,34248877.95,85127154.2581,83236953.4537,51476898.32,40136498.278,82805636.1251,77748091.0986,98441604.5584,59995549.4228,590401512.0979,180904177.2394,109720273.26,58108150.19
"FP-Econ. Price Adj.","VA",438964369.6917,367088419.466,522548442.4045,690735368.2032,455785314.7735,250688283.7323,257050869.8013,194438914.9609,143393019.3234,397484972.5863,507702153.6371,351422606.5487,505438573.064,598331034.8969,834960679.448,583315542.9614,656948290.7063,590634411.6884,732031502.3072,478458837.4069,408631837.0645,460021411.81,442869536.2759,830992035.3512,902409411.23,414138148.27
"FP-Incentive","Defense",6133098636,6192593184,9031564895,9079232478,9827511405.49,6844005098.9382,7082066070.0877,5551385144.2826,5349736697.4983,9307112509.1561,14936091825.8991,24522062799.2508,27890057491.9652,34661305787.9647,29424597896.5901,29382727058.1822,36506353710.9782,49090871885.6298,52921078164.3363,56228790554.0941,77344518975.9391,36073002471.4612,44471572824.2879,64786564569.2409,38170214732.94,24369190098.46
"FP-Incentive","DHS",,,,82571143,106545435.6663,212321148.2963,147446878.75,71693768.6864,136098493.899,100861011.3607,27717624.7161,1092767535.6564,146110977.0318,669357790.05,704042761.43,562048493.29,155358352.14,69433475.0079,332256783.8325,9532203.73,500364273.4609,388687845.0987,288306378.23,160572018.0006,396659147.87,27819790.6
"FP-Incentive","Energy",365608000,196046828,313339400,764265120,673881225.0176,436217953.181,415613971,279978594.0938,499986928,676297733.36,52695660.3008,152047108.9488,150363634.2509,134656931.96,264105759.15,-39949.47,-163.88,,,,,,,,,
"FP-Incentive","GSA",17037000,89397999,140048209.1802,256320000.6432,16686243.1614,29770436.6447,20914024.6388,10819469.31,1250669.6338,12384260.7942,484031022.7583,13797531.3423,8359388.984,172813627.85,-20044208.89,33713878.86,51346835.74,71996949.6119,137811588.35,394562695.14,101036548.8394,266978741.3708,191964051.89,84940769.6537,97725747.2,69765184.57
"FP-Incentive","HHS",1557929,4124883,4304750,16350690,1886490,326496.39,7180760.8,3627866.2384,3961948.27,5260886.0682,17502101.6863,7295201.3201,13963259.4658,17960893.9001,16491139.0696,20020218.3302,16192018.56,11184973.5379,1639067.765,1929418.0796,538734461.1337,1716440330.5596,1093300095,-131501542.77,-35067.36,
"FP-Incentive","NASA",52420526,110684745.5,125801105.43,54382400.34,30891795.03,31248823.1333,39348296.13,15113847.4914,266757773.7298,295968961.71,199975359.9981,63612197.9883,129072580.3946,149820800.41,40670299.36,49669471.0945,29783728.7706,24570933.3147,7111488.63,649530.59,49808007.85,80325000,153066307,257354229.02,360660996,175490950.97
"FP-Incentive","Other Agencies",392389116.9494,180866440.8125,216694289.251,342325347.0389,282216088.1937,525500257.2364,786705801.792,1052183251.9126,994145397.0605,1010066748.7166,1022495419.7361,1181528316.9889,966049592.966,1534834575.9996,1747272593.66,1307393088.7004,745698022.8159,645200402.3336,438353857.6017,348734473.9053,226655700.3058,146710875.5647,22544969.7048,144231173.507,128791417.01,6967595.81
"FP-Incentive","State and IAP",1405000,835000,174000,7209517,19132120.6646,95758287.6983,6263134.0325,15133798.71,9579751.7402,5032403.0385,2631559.1577,450746.6018,1084985.9415,2709567.86,6031889.39,10801616.39,6552832.2302,69573155.4131,192971648.39,192604166.15,48310501.35,113863648.5937,204231771.0553,167406230.6689,23543944.5,3666711.17
"FP-Incentive","VA",10217000,16546000,356000,7358157,780318.2266,383725.0391,23740,1977786,71948,5036652.3984,5070042.3108,308523325.1842,751388121.3498,397976174.0129,244142209.94,237253024.1202,1775489833,4421056402.6307,1574366841.9556,2974225228.4987,8928388982.1634,3093787820.2569,367066454.8402,295081066.9097,286295111.81,177363586.67
,"Defense",6613373950.149,6424008621.3369,8482649711.9464,9082587219.0046,9270196138.4963,7410663513.917,4712411701.228,820198022.53,6192327123.7527,3294223479.887,214382588.7375,-3081399.5465,-1973038.6939,508721.45,-2834591.3209,29995.58,-58489.62,30882.2,20204.71,50903.56,10000,10000,0,-29324.9492,10000,0
,"DHS",1039398.4494,4449804.2499,196620263.3199,145285335.154,284772411.9897,907876561.2904,1312937182.9257,1272853110.7718,1598914310.2137,1549062710.9337,646590825.4904,263856472.3683,109754235.2858,-15593728.472,13627925.5106,11741178.5007,5280019.63,2443520.4479,-2961770.0622,-76150.0198,-428.23,147003.5,-150002.17,9999.98,-1544099.25,26500
,"Energy",-35000,422571,5138177,2549599,3450942.625,748929.7891,7285310.0961,10762546.8591,24050374.567,50996325.5417,26960022.8702,-2656612.1357,-906246.8282,-416542.5675,-558044.3563,-8461668.1708,21129.28,-241957.8898,143751.17,-10991.1,5e+05,3583924,451768533.88,385031267.64,48898989.39,42662547.44
,"GSA",28783201.4517,165325878.5725,29310546.8197,330858162.607,236089002.2262,196147610.68,232148750.9515,251171367.62,349277245.6087,382421738.8435,194922576.6703,363334664.7453,38826453.7951,132198218.75,5023454.5604,12149410.89,3979210.35,7170594.5701,7697344.1,38539126.71,45531026.99,8054138.75,3575774.2,3337249.63,2386666.44,5679114.96
,"HHS",7074283.464,83622205.1399,89551637,166108676.4046,364725561.0856,284274828.5423,355606932.3189,470207382.4703,412590894.0089,473694252.9442,244203683.6256,80833664.6093,18137820.9625,27424347.1802,-909111.9268,27732684.1102,18607491.11,18564227.4802,14730964.5053,9442597.4399,-274994.1886,1429494.92,-4769792.2731,-2629717.2175,5794898.51,1041757202.98
,"NASA",171895,4663195.1177,4977173.1725,21726390.1918,29944649.7716,29835677.4764,34221302.3441,89828582.4718,104933765.3758,91405884.4701,47596814.6322,24794403.0891,12080381.9619,10456025.8491,9083839.0331,6008231.3452,61042916.1899,58601610.52,78459419.49,52696618.07,58993368.59,46347019.9,-15170846.16,18297368.88,20755858.14,26967334.96
,"Other Agencies",144393948.253,84842285.2045,147171865.4234,99903914.8849,723196487.5988,1029516385.576,1162238163.0338,1405329659.168,1433176644.3929,1873197618.3867,729653661.7127,202044153.8001,76166489.7694,42780259.2526,14517980.1033,26024055.6501,15541226.75,14235668.6528,12937204.2864,3923155.2717,59372467.1506,10386879.5792,41429512.36,11301843.7012,-20478403.04,4457224.65
,"State and IAP",22500587.3466,70209898.56,116128153.6827,317164596.0284,85118476.621,142444498.3161,457294976.8287,521203092.471,819726337.6499,756480831.0755,727721373.815,587452553.7412,65405503.798,24411474.5214,37641726.75,27105422.74,11764736.18,2923079.1593,-1869903.4699,-19770.6418,-282745.12,-184226.6494,179269.52,599465.01,1072316.96,117591.73
,"VA",791545.6406,2552802.82,2090456.6625,5890198.0764,19723651.872,14718300.1519,19654359.7075,52710444.094,201036174.1434,239062157.32,130882157.2784,44743983.6637,16140539.6079,8009564.86,246013.3,-247935.6269,-976112.1,-399579.6562,25433.48,30000,644505.24,0,380500,0,0,0
,,,,,5323.65,0,,,,,,,,,,,,,,,,,,,,,
